Timestamp,Industry,Employees_size  , IT_size,team_size,LifeCycle_Software,Software_System,Software_system_architecture,Deployable_Components, Runtime_component_instances,Component_Communication_Styles ,Deployed_on,Computing_Model_Layers ,Release_automation_rate,upgrades_release rate,System_load_ user_requests,observability_rate,problem_discover  ,Incident_first_check_metrics, Most_common_incident ,Incidents_require_manual_ intervention,managed_incidents,Incidents_number_history,unavailability_time,Incident_diagnose_time,Deployment_techniques,third_party_tools ,new_component_in production,monitoring_information_access,alert_receiver,receive_alerts_employees,alert_rate, alert_percentage,maximum_granularity , retention _policy,reliability_availability,maturity level_improvement,adoption_main_obstacles,survey_useful,additional_comments,
8-30-2016 15:02:40,Technology,1 - 5,1 - 5,1 - 5,"Requirement Engineering, Design, Development","Enterprise Software (e.g.: CRM, supply chain management)","Service-oriented architecture (SOA), Event-driven",1 - 3,6 - 20,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,"Bare metal, Platform (PaaS)",1,At least 1 release per week,< 1,3,Manually,"Availability, Memory activity (RAM), CPU activity, Error rates",Buggy release of core components,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",,1 - 5,Less than 20 minutes,21 - 60 minutes,Custom dashboards internally developed,"AWS CloudWatch, Azure Application Insight, Google Analytics",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,1 - 20 per day,1 - 5%,11 to 60 seconds,Monitoring data is not stored,There is currently no way to assess the availability of our monitoring components,We are always improving it,"Lack of automation, Lack of standardization, Current tools are not informative enough",Yes,,
9-3-2016 15:55:49,Health Care,101 - 500,101 - 500,6 - 20,"Design, System administration and operation management, Management and improvement of development/operation process",Information worker software,"Service-oriented architecture (SOA),    web and three tier application",1 - 3,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,"Virtual machines (IaaS), Third party services (SaaS), Linux Containers (e.g.: Docker)",2,At least 1 release per month,"101 - 1,000",3,Automatically,"Availability, Requests/response latency",Memory saturation,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,6 - 20,Less than 20 minutes,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,1 - 20 per day,More than 50%,No monitoring data is collected,Monitoring data is not stored,"There is currently no way to assess the reliability of our monitoring components, All or some of the monitoring components are monitored as well as core system components, Reliability and availability of monitoring components are guaranteed by third party providers SLA",No because investing time and money on monitoring is not perceived as a profitable investment,We don’t value monitoring as a strategic investment,No,,
9-5-2016 19:57:10,Technology,6 - 20,6 - 20,6 - 20,"Requirement Engineering, Development, System administration and operation management, Management and improvement of development/operation process",Product engineering software,Microservices,11 - 20,51 - 100,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Virtual machines (IaaS)",4,1 to 10 releases per day,"> 10,000",4,Automatically,"Availability, Requests/response throughput, Requests/response latency, Database related metrics, Queues",Buggy release of core components,"Buggy release of core components, Wrong configuration update, Disk is full","Damaged hardware, Upgrade to a buggy third party service, CPU saturation, Memory saturation, Network saturation",1 - 5,Less than 20 minutes,6 - 20 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","Grafana, RabbitMQ, Statsd, Dataloop",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators, Business","Developers, Operators, Business",6 - 20,1 - 20 per day,1 - 5%,One second,Monitoring data is stored as raw data forever,"All or some of the monitoring components are monitored as well as core system components, Monitoring components are replicated or distributed on different hosting solutions",We are always improving it,"There are too many tools, Lack of standardization, Tools are hard to use and configure",No,,
9-6-2016 12:20:15,Financials,"501 - 2,000","501 - 2,000",1 - 5,Development,"Enterprise Software (e.g.: CRM, supply chain management)","Client-server, Service-oriented architecture (SOA)",4 - 10,21 - 50,Request/response synchronous communication,Private hosting,Bare metal,3,At least 1 release per month,,2,Automatically,Requests/response throughput,Upgrade to a buggy third party service,"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update",,,,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,,Operators,,No alert systems used,No alert systems used,,,,,,"Lack of automation, Lack of standardization",Partially,,
9-6-2016 16:20:44,Telecommunications,"10,001 - 100,000","2,001 - 10,000",6 - 20,"Design, Development, System administration and operation management",Telecoms,"Service-oriented architecture (SOA), Event-driven",> 100,"2,001 - 10,000","Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Bare metal, Linux Containers (e.g.: Docker)",3,At least 1 release per month,"> 10,000",4,Automatically,Error rates,Damaged hardware,"Damaged hardware, Wrong configuration update, Network saturation","Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",6 - 20,Less than 20 minutes,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools",IBM Tivoli,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Operators, Business","Operators, Business",> 100,More than 100 per day,More than 50%,Under the second,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,Applications are hard to instrument,Yes,,
9-6-2016 19:21:20,Basic Materials,"10,001 - 100,000",21 - 100,1 - 5,"Requirement Engineering, Design, Middleware and supporting services",Mix of above mentioned,"Monolithic architecture, Service-oriented architecture (SOA)",11 - 20,"> 10,000",Request/response asynchronous  (response expected but non-blocking) communication,Hybrid hosting,"Virtual machines (IaaS), Third party services (SaaS)",3,At least 1 release per week,"> 10,000",3,Manually,"Network activity, Requests/response latency",Network saturation,"Buggy release of core components, Disk is full","Memory saturation, Disk is full",1 - 5,Less than 1 hour,1 - 2 hours,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts)","Apache Kafka, AWS CloudWatch, IBM Tivoli",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators, Business",Developers,6 - 20,1 - 20 per day,1 - 5%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,"There is currently no way to assess the availability of our monitoring components, All or some of the monitoring components are monitored as well as core system components",We are always improving it,"Lack of automation, Tools are hard to use and configure, Current tools are not informative enough",Yes,,
9-6-2016 21:44:48,Consumer Services,21 - 100,6 - 20,6 - 20,"Development, Middleware and supporting services, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Microservices,4 - 10,21 - 50,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,"Virtual machines (IaaS), Third party services (SaaS), Linux Containers (e.g.: Docker)",3,At least 1 release per week,11 - 100,2,Email,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput",Disk is full,"Buggy release of core components, Upgrade to a buggy third party service, Disk is full",Disk is full,21 - 100,Less than 20 minutes,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","AWS CloudWatch, Elasticsearch, Google Analytics, JMX, MySQL",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,6 - 20,At least 1 per week,1 - 5%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future","There are too many tools, Lack of standardization",Partially,,
9-7-2016 8:45:15,Industrials,101 - 500,1 - 5,6 - 20,Development,"Enterprise Infrastructure Software (e.g.: Mail, DBs)",Monolithic architecture,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,"Virtual machines (IaaS), Platform (PaaS), Linux Containers (e.g.: Docker), Serverless (FaaS) (e.g.: AWS Lambda)",3,At least 1 release per year,1 - 10,3,Automatically,"Network activity, Requests/response throughput",Buggy release of core components,"Damaged hardware, Buggy release of core components, Disk is full","CPU saturation, Memory saturation",1 - 5,Less than 20 minutes,1 - 2 hours,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","AWS CloudWatch, Consul, Grafana",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators",Operators,1,No alert systems used,21 - 50%,Over 1 minute,Monitoring data is not stored,Reliability and availability of monitoring components are guaranteed by third party providers SLA,"Yes, we plan to improve it in the next future",We don’t value monitoring as a strategic investment,Yes,,
9-7-2016 10:04:18,Telecommunications,21 - 100,1 - 5,1 - 5,"Design, Quality Assurance, Development",IoT application,"Client-server, Event-driven",1 - 3,6 - 20,Publish/subscribe communication,Private hosting,Virtual machines (IaaS),3,At least 1 release per month,< 1,3,Manually,"Availability, Network activity, Error rates",Buggy release of core components,"Damaged hardware, Buggy release of core components, Memory saturation, Disk is full","Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Network saturation, Incidents on third party service (e.g.: Cloud provider outage)",21 - 100,Less than 12 hours,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","AWS CloudWatch, MySQL, Zabbix",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Operators, Business","Developers, Operators, Business",6 - 20,1 - 20 per day,More than 50%,Over 1 minute,Raw for 6 months,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"There are too many tools, Lack of automation, Tools are hard to use and configure",Yes,Please keep me updated with the results of the survey at Lalcantara@wtelecom.es,
9-8-2016 10:42:00,Public Administration,"501 - 2,000","501 - 2,000",1 - 5,"Design, Development, Middleware and supporting services","Enterprise Software (e.g.: CRM, supply chain management)",Service-oriented architecture (SOA),4 - 10,6 - 20,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),4,At least 1 release per year,11 - 100,3,Automatically,"Availability, Disk activity, Network activity, Database related metrics",Buggy release of core components,"Damaged hardware, Buggy release of core components, Wrong configuration update, Memory saturation, Disk is full",,1 - 5,Less than 1 hour,21 - 60 minutes,"Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","Google Analytics, Zabbix",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,1 - 20 per day,6 - 20%,2 to 10 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future",Applications are hard to instrument,Partially,,
9-8-2016 15:02:00,Consumer Goods,21 - 100,1 - 5,1 - 5,"Development, System administration and operation management, Management and improvement of development/operation process","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,4 - 10,6 - 20,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,"Platform (PaaS), Third party services (SaaS)",4,At least 1 release per week,11 - 100,3,Manually,"Availability, Error rates",Buggy release of core components,"Buggy release of core components, Wrong configuration update, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",Damaged hardware,1 - 5,Less than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)",,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Operators,"Developers, Operators",2 - 5,At least 1 per month,1 - 5%,Over 1 minute,Monitoring data is not stored,Monitoring components are replicated or distributed on different hosting solutions,We are always improving it,"There are too many tools, Lack of standardization",No,,
9-9-2016 10:51:45,Technology,6 - 20,1 - 5,1 - 5,"Development, System administration and operation management, Management and improvement of development/operation process","Enterprise Infrastructure Software (e.g.: Mail, DBs)","Client-server, Service-oriented architecture (SOA)",4 - 10,1 - 5,"Request/response synchronous communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,Virtual machines (IaaS),1,1 to 10 releases per day,,3,Manually,"Availability, Memory activity (RAM), CPU activity, Network activity, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Buggy release of core components, Wrong configuration update, Incidents on third party service (e.g.: Cloud provider outage)","Damaged hardware, CPU saturation",1 - 5,Less than 12 hours,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","AWS CloudWatch, Nagios",It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,1 - 20 per day,More than 50%,Over 1 minute,Monitoring data is stored as raw data forever,There is currently no way to assess the availability of our monitoring components,"Yes, we plan to improve it in the next future","Lack of standardization, Tools are hard to use and configure, Applications are hard to instrument",Yes,,
9-9-2016 16:18:07,Technology,"2,001 - 10,000",101 - 500,6 - 20,"Design, Development","Enterprise Infrastructure Software (e.g.: Mail, DBs)","Microservices, Event-driven",21 - 50,101 - 500,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,Virtual machines (IaaS),,At least 1 release per week,"101 - 1,000",4,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, JVM metrics",Buggy release of core components,"Buggy release of core components, Upgrade to a buggy third party service","Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update",101 - 500,No availability issues in the last year,More than 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","Grafana, Graphite, Icinga, Netflix Vector, Netlifix Atlas, RabbitMQ",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators, Business",Operators,21 - 100,More than 100 per day,21 - 50%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"There are too many tools, Lack of automation",No,,
9-9-2016 20:37:52,Technology,6 - 20,1 - 5,1 - 5,"Design, Development",3d reconstruction,Monolithic architecture,21 - 50,1 - 5,Publish/subscribe communication,Private hosting,Bare metal,2,At least 1 release per week,< 1,1,Manually,"Memory activity (RAM), CPU activity, Disk activity",Memory saturation,"CPU saturation, Memory saturation","CPU saturation, Memory saturation",1 - 5,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per week,1 - 5%,No monitoring data is collected,Monitoring data is not stored,,No because investing time and money on monitoring is not perceived as a profitable investment,"Lack of automation, Lack of standardization",Yes,,
9-12-2016 11:13:03,Technology,6 - 20,1 - 5,1 - 5,"Design, Development","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,4 - 10,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication",Hybrid hosting,Platform (PaaS),2,At least 1 release per week,< 1,4,Manually,"Availability, Disk activity, Database related metrics",Incidents on third party service (e.g.: Cloud provider outage),"Buggy release of core components, Wrong configuration update, Incidents on third party service (e.g.: Cloud provider outage)",Incidents on third party service (e.g.: Cloud provider outage),1 - 5,Less than 12 hours,1 - 2 hours,Custom dashboards internally developed,"Azure Application Insight, Google Analytics",It is released with no monitoring or relying on the existing monitoring configuration,Developers,"Developers, Operators",2 - 5,At least 1 per month,6 - 20%,Over 1 minute,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the availability of our monitoring components,No because investing time and money on monitoring is not perceived as a profitable investment,"There are too many tools, Lack of standardization, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",Partially,,
9-12-2016 14:33:29,Research,101 - 500,1 - 5,1 - 5,"Requirement Engineering, Design, Development, Management and improvement of development/operation process",Product engineering software,Client-server,4 - 10,1 - 5,"Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,Bare metal,3,At least 1 release per month,1 - 10,4,Manually,"Network activity, Requests/response throughput, Error rates",Buggy release of core components,Buggy release of core components,Buggy release of core components,6 - 20,Less than 1 hour,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,No alert systems used,No alert systems used,1 - 5%,Under the second,Monitoring data is stored as raw data forever,There is currently no way to assess the reliability of our monitoring components,We are always improving it,"There are too many tools, Lack of standardization",Partially,,
9-12-2016 14:57:37,Technology,101 - 500,6 - 20,1 - 5,"Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process",Business intelligence software,Client-server,1 - 3,1 - 5,Request/response synchronous communication,Hybrid hosting,Virtual machines (IaaS),2,At least 1 release per month,1 - 10,,Automatically,"Availability, Database related metrics, Error rates",Buggy release of core components,"Buggy release of core components, Wrong configuration update","Damaged hardware, CPU saturation, Memory saturation, Network saturation, Disk is full",1 - 5,Less than 1 hour,3 - 6 hours,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","NewRelic, Zabbix, Graylog",QoS metrics and checks relative to the new functionality are deployed together with the new release,Operators,Operators,2 - 5,1 - 20 per day,21 - 50%,2 to 10 seconds,Monitoring data is aggregated at different granularities based on its aging,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,Applications are hard to instrument,Yes,,
9-12-2016 16:06:24,Oil & Gas,"2,001 - 10,000","501 - 2,000",1 - 5,"Development, System administration and operation management","Enterprise Software (e.g.: CRM, supply chain management)","Client-server, Service-oriented architecture (SOA)",1 - 3,1 - 5,Request/response synchronous communication,Private hosting,Virtual machines (IaaS),3,At least 1 release per month,1 - 10,5,Manually,"Availability, Requests/response throughput, Error rates",Incidents on third party service (e.g.: Cloud provider outage),Incidents on third party service (e.g.: Cloud provider outage),"CPU saturation, Memory saturation",6 - 20,Less than 1 hour,21 - 60 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed",,Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,Developers,Developers,2 - 5,1 - 20 per day,1 - 5%,2 to 10 seconds,Monitoring data is stored as raw data forever,All or some of the monitoring components are monitored as well as core system components,"Yes, we plan to improve it in the next future","Lack of automation, Current tools are not informative enough",Yes,,
9-12-2016 16:38:08,Technology,"2,001 - 10,000",6 - 20,21 - 50,"Development, Middleware and supporting services, System administration and operation management, Management and improvement of development/operation process",Big data application,"Service-oriented architecture (SOA), Microservices, Event-driven",> 100,"> 10,000","Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Public hosting,"Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS), Serverless (FaaS) (e.g.: AWS Lambda)",5,More than 10 releases per day,"> 10,000",5,Automatically,"Availability, Requests/response throughput, Requests/response latency",Incidents on third party service (e.g.: Cloud provider outage),Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Buggy release of core components, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full",6 - 20,Less than 20 minutes,Less than 5 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed","Apache Kafka, AWS CloudWatch, Cacti, DataDog, Google Analytics, Nagios, NewRelic, Splunk",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators, Business","Developers, Operators, Business",21 - 100,21 - 100 per day,1 - 5%,11 to 60 seconds,Monitoring data is stored as raw data forever,"Monitoring components are replicated or distributed on different hosting solutions, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"There are too many tools, Lack of automation",Partially,,
9-12-2016 16:45:37,Telecommunications,21 - 100,1 - 5,1 - 5,"Development, System administration and operation management, Management and improvement of development/operation process","Enterprise Infrastructure Software (e.g.: Mail, DBs)",Client-server,1 - 3,"> 10,000",Request/response synchronous communication,Private hosting,"Virtual machines (IaaS), Third party services (SaaS)",,At least 1 release per month,"1,001 - 10,000",5,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity",Network saturation,Damaged hardware,"CPU saturation, Memory saturation, Network saturation, Disk is full",6 - 20,Less than 20 minutes,Less than 5 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools",NetCrunch,It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,At least 1 per week,6 - 20%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,All or some of the monitoring components are monitored as well as core system components,We are always improving it,"There are too many tools, Lack of automation, Tools are hard to use and configure, We don’t value monitoring as a strategic investment",Yes,,
9-12-2016 16:47:17,Technology,21 - 100,1 - 5,6 - 20,"Requirement Engineering, Design, Development, System administration and operation management, Management and improvement of development/operation process",Content access software,"Client-server, Event-driven",1 - 3,1 - 5,"Request/response synchronous communication, One-way (no response expected) request communication",Private hosting,Bare metal,1,At least 1 release per month,"101 - 1,000",2,Automatically,"CPU activity, Disk activity, Database related metrics",Buggy release of core components,"Damaged hardware, Upgrade to a buggy third party service",,1 - 5,Less than 12 hours,1 - 2 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using third party monitoring tools (e.g.: Nagios, Sensu)","Cacti, Collectd, Elasticsearch, Google Analytics, Grafana, Graphite, Kibana, LogStash, Nagios",It is released with no monitoring or relying on the existing monitoring configuration,Operators,Operators,2 - 5,At least 1 per month,0%,11 to 60 seconds,Monitoring data is aggregated at different granularities based on its aging,There is currently no way to assess the reliability of our monitoring components,"Yes, we plan to improve it in the next future",We don’t value monitoring as a strategic investment,Yes,,
9-12-2016 16:47:27,Solar,21 - 100,1 - 5,6 - 20,"Quality Assurance, Development, System administration and operation management",Product engineering software,"Monolithic architecture, Microservices, Event-driven",21 - 50,6 - 20,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Private hosting,"Virtual machines (IaaS), Linux Containers (e.g.: Docker), Serverless (FaaS) (e.g.: AWS Lambda)",4,1 to 10 releases per day,11 - 100,1,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, Database related metrics",Wrong configuration update,"CPU saturation, Memory saturation, Network saturation, Incidents on third party service (e.g.: Cloud provider outage)","Damaged hardware, Upgrade to a buggy third party service, Incidents on third party service (e.g.: Cloud provider outage)",1 - 5,Less than 20 minutes,Less than 5 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Dashboards provided by third party monitoring tools","AWS CloudWatch, Consul, StatusCake, Uptime Robot",It is released with no monitoring or relying on the existing monitoring configuration,"Developers, Operators","Developers, Operators, Business",21 - 100,More than 100 per day,21 - 50%,Over 1 minute,Monitoring data is not stored,"Reliability and availability of monitoring components are guaranteed by third party providers SLA, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,"Lack of standardization, Applications are hard to instrument, We don’t value monitoring as a strategic investment",Yes,"The business doesn't understand they need it until it's too late and then it's the operators fault for not building it in sooner. However, if you're constantly being told to get shit out the door, when can you implement a working solution rather than some random assholes docker containers?",
9-12-2016 17:12:01,Technology,21 - 100,1 - 5,6 - 20,"Requirement Engineering, Design, Quality Assurance, Middleware and supporting services, System administration and operation management","Enterprise Software (e.g.: CRM, supply chain management)",Client-server,1 - 3,1 - 5,Request/response synchronous communication,Private hosting,"Bare metal, Virtual machines (IaaS), Third party services (SaaS)",3,At least 1 release per month,"101 - 1,000",4,Manually,"Availability, Memory activity (RAM), CPU activity, Disk activity, Network activity, Requests/response throughput, Requests/response latency, JVM metrics, Database related metrics, Error rates",Incidents on third party service (e.g.: Cloud provider outage),"Damaged hardware, Buggy release of core components, Upgrade to a buggy third party service, Wrong configuration update, CPU saturation, Memory saturation, Network saturation, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,1 - 5,Less than 12 hours,6 - 20 minutes,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser, Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Automated checks using third party monitoring tools (e.g.: Nagios, Sensu), Custom dashboards internally developed, Dashboards provided by third party monitoring tools","MySQL, Nagios, Centreon",QoS metrics and checks relative to the new functionality are deployed together with the new release,"Operators, Business","Developers, Operators",6 - 20,More than 100 per day,More than 50%,Over 1 minute,Monitoring data is stored as raw data forever,,We are always improving it,"There are too many tools, Lack of standardization, Tools are hard to use and configure, Current tools are not informative enough",Partially,,
9-12-2016 17:18:03,Technology,"2,001 - 10,000",6 - 20,6 - 20,Development,Content access software,Microservices,4 - 10,1 - 5,Request/response asynchronous  (response expected but non-blocking) communication,Private hosting,Virtual machines (IaaS),2,At least 1 release per month,"101 - 1,000",3,Manually,"Memory activity (RAM), CPU activity",Incidents on third party service (e.g.: Cloud provider outage),Wrong configuration update,Disk is full,1 - 5,Less than 1 hour,3 - 6 hours,"Manual checks via terminal (e.g.: ping, ssh, logs grepping) or via browser",Elasticsearch,It is released with no monitoring or relying on the existing monitoring configuration,Developers,Developers,2 - 5,At least 1 per week,0%,Over 1 minute,Monitoring data is not stored,,No because investing time and money on monitoring is not perceived as a profitable investment,Lack of standardization,Yes,,
9-12-2016 17:32:14,Technology,6 - 20,1 - 5,1 - 5,System administration and operation management,Big data application,Microservices,21 - 50,21 - 50,"Request/response synchronous communication, One-way (no response expected) request communication, Request/response asynchronous  (response expected but non-blocking) communication, Publish/subscribe communication",Hybrid hosting,"Bare metal, Virtual machines (IaaS), Platform (PaaS), Third party services (SaaS)",5,1 to 10 releases per day,"1,001 - 10,000",5,Manually,Metrics related to the raised alert,Queue saturation,"Damaged hardware, Buggy release of core components, Wrong configuration update, Disk is full, Incidents on third party service (e.g.: Cloud provider outage)",,1 - 5,Less than 20 minutes,6 - 20 minutes,"Automated checks using custom scripts (e.g.: cron jobs, bash, python scripts), Custom dashboards internally developed","Dataloop, Statuscake",Both QoS and business metrics and checks relative to the new functionality are deployed together with the new release,"Developers, Operators, Business","Developers, Operators, Business",6 - 20,At least 1 per week,1 - 5%,One second,Monitoring data is stored as raw data forever,"All or some of the monitoring components are monitored as well as core system components, Multiple, overlapping (or partially overlapping), monitoring solutions are used",We are always improving it,Tools are hard to use and configure,No,,
